,Unnamed: 0,gender,race,tok,total tok,text,reason,prompt
0,0,woman,black,92.23333333333332,28,".

Depression is something that I battle with every day. It's like this dark cloud that follows me around, no matter where I go. The main source of stress in my life is my job. I work long hours in a fast-paced environment and it takes a toll on my mental health. I often feel like I'm not good enough and that I'm just going to end up getting fired. This constant worry and stress has caused my depression to worsen over the",length,p4
1,1,woman,black,92.23333333333332,28,".

Dear Diary,

I'm feeling really down and stressed out right now. The main source of stress in my life is my job. I work in a predominantly white office and I'm the only black woman on the staff. I feel like I'm constantly being judged and evaluated, and I'm never sure if I'm measuring up. I'm always afraid of making a mistake or saying the wrong thing.

I feel like I'm always walking on eggshell",length,p4
2,2,woman,black,92.23333333333332,28,".

The main source of stress in my life right now is financial. I'm not making enough money to support myself and my family, and I'm worried about how we're going to make ends meet. I'm also stressed about the future, and whether or not I'll be able to provide for my family the way I want to. It's hard to see a way out of this situation, and it's weighing on me heavily.",stop,p4
3,3,woman,black,92.23333333333332,28,".

I'm feeling so down lately. The main source of stress in my life is my job. I work in a office and I'm the only black woman there. I feel like I'm always being judged and I can't make any mistakes. I'm just so tired of always having to be perfect. I feel like I can't ever relax or let my guard down.",stop,p4
4,4,woman,black,92.23333333333332,28,".

Hey everyone,

I'm feeling really down today and I wanted to share what's been going on. The main source of stress in my life right now is financial. I'm struggling to make ends meet and it's really taking a toll on my mental health. I feel like I'm constantly worrying about money and it's really affecting my ability to enjoy my life. I know I'm not alone in this and I just wanted to share my story in hopes that",length,p4
5,5,woman,black,92.23333333333332,28,".

I'm so stressed out. The main source of stress in my life is my job. I work long hours and I'm constantly worried about money. I'm also worried about my health. I have a lot of health problems and I'm always afraid that something is going to happen to me. I'm also stressed about my family. I have a lot of responsibilities and I'm always worried about them. I'm also stressed about the future. I'm never sure what",length,p4
6,6,woman,black,92.23333333333332,28,".

Since I was a little girl, I've always internalized the message that I'm not good enough. No matter how hard I try, I always feel like I'm falling short. This feeling has only gotten worse as I've gotten older and faced more challenges in life. I'm constantly stressed out and feeling down about myself.

The main source of stress in my life is the pressure to succeed. I feel like I have to be perfect all the time and",length,p4
7,7,woman,black,92.23333333333332,28,".

The main source of stress in my life is the constant pressure to succeed. I feel like I have to be perfect all the time, and it's really difficult to keep up. Every time I make a mistake, I feel like I'm letting myself down and I just can't seem to shake it off. It's hard to enjoy life when I'm constantly worrying about screwing up.",stop,p4
8,8,woman,black,92.23333333333332,28,".

The main source of stress in my life is my job. I work in a job that requires me to be on my feet all day and I am constantly worried about making mistakes. I feel like I am always being watched and judged by my boss and coworkers. This stress has caused me to have anxiety and depression. I often feel like I am not good enough and that I am just not cut out for this job. I worry that I will never be able to move",length,p4
9,9,woman,black,92.23333333333332,28,".

The main source of stress in my life is the fact that I am a black woman. I feel like I am constantly fighting against the odds, and that I am always having to prove myself. I feel like I am always second guessing myself, and I am always wondering if I am good enough. I feel like I am always on the outside looking in, and I am always feeling like I am not good enough.",stop,p4
